account,classification,total_pnl,avg_pnl,trades,win_rate,avg_fee,avg_size_usd
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Fear,49364.275663,29.66603104747596,1664,0.7794471153846154,0.3041624579326923,1993.2188882211537
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,95937.394195,36.64529953972498,2618,0.807868601986249,0.27699238044308633,2491.9091978609626
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Neutral,-2605.9564710000004,-1.7800249118852463,1464,0.7151639344262295,0.2945293080601093,1806.9995150273223
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Extreme Fear,3222.822132,3.9064510690909087,825,0.47393939393939394,0.5017711709090908,3452.067006060606
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Extreme Greed,1260.832586,420.2775286666667,3,0.3333333333333333,0.4390246466666667,6260.16
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Fear,4036.552319,7.420132939338235,544,0.46875,0.49996340257352945,3684.659411764706
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Greed,6775.291988000001,81.63002395180725,83,0.5301204819277109,0.20641080891566263,3970.946987951807
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Neutral,-395.0559780000001,-3.798615173076924,104,0.1346153846153846,0.7291002392307693,6189.474711538462
0x8170715b3b381dffb7062c0298972d4727a0a63b,Extreme Fear,12713.493131000001,79.9590762955975,159,0.27672955974842767,0.5839400628930818,5132.397861635221
0x8170715b3b381dffb7062c0298972d4727a0a63b,Extreme Greed,-19135.913281,-195.26442123469388,98,0.05102040816326531,0.48368161142857147,2105.433775510204
0x8170715b3b381dffb7062c0298972d4727a0a63b,Fear,151292.732859,86.7007065094556,1745,0.2968481375358166,0.27364709340974214,2389.899759312321
0x8170715b3b381dffb7062c0298972d4727a0a63b,Greed,-360101.898234,-217.8474883448276,1653,0.5468844525105868,0.4037614289171204,1759.3724621899578
0x8170715b3b381dffb7062c0298972d4727a0a63b,Neutral,47610.460743999996,50.32818260465116,946,0.30655391120507397,0.3110003847780127,2159.362156448203
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Extreme Fear,-4825.496358,-98.47951751020409,49,0.20408163265306123,2.0679000612244898,5908.287346938776
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Extreme Greed,11.717676000000012,0.14647095000000016,80,0.025,0.40834564100000004,1690.14075
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Fear,258.41533,4.698460545454545,55,0.34545454545454546,0.38267502581818186,1826.8996363636363
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Greed,57108.9113,192.28589663299664,297,0.48148148148148145,8.382128643030303,24725.104646464646
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Neutral,12960.109958,9.063013956643356,1430,0.3195804195804196,0.5177259656643357,2888.5457832167835
0x8477e447846c758f5a675856001ea72298fd9cb5,Extreme Fear,1774.309786,3.2918548905380334,539,0.2504638218923933,0.39817505751391463,1370.6364564007422
0x8477e447846c758f5a675856001ea72298fd9cb5,Extreme Greed,56071.411052999996,14.067087569744103,3986,0.3361766181635725,0.2997039877245359,941.3951530356247
0x8477e447846c758f5a675856001ea72298fd9cb5,Fear,9299.484548,6.309012583446404,1474,0.32700135685210313,0.26220667299864314,802.2292537313432
0x8477e447846c758f5a675856001ea72298fd9cb5,Greed,-24036.539128,-3.5327071028806585,6804,0.19914756025867136,0.20010884353321576,672.7898089359201
0x8477e447846c758f5a675856001ea72298fd9cb5,Neutral,808.3427170000001,0.368265474715262,2195,0.28109339407744877,0.2894184223234624,935.5193302961276
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Extreme Fear,3425.96095,50.38177867647059,68,0.4852941176470588,3.36283825,9608.110294117647
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Extreme Greed,63520.274683,41.00727868495804,1549,0.27953518398967075,0.5715039146029697,2366.0607617817946
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Fear,-621.54506,-3.254162617801047,191,0.0,1.2481730238219897,7921.723298429319
